"Sentiment","TweetText"
"negative","#stupid fucking #Twitter #Twitterapp give me my Damn #mentions NOOWWWWWW!!!!! UGH! #DRAWLIN AS ALWAYS #TMW #PROMOALLDAY #FOLLOWLIMITISGAY TO"
"positive","Loving my new #iPhone4S thanks @apple for #ios5"
"neutral","Calling All #IceCreamSandwich Lovers | #Google & #Samsung Like in Hong Kong - A new look at what's new from Android http://t.co/lfpPk5Yk"
"neutral","OH: Sales guy @BestBuy: I'm not selling or using any @apple products during my mourning period over Job's passing. hmmm.."
"irrelevant","msn  quase ninguem  facebook paradão geral despedindo  #twitter geral ralando :S'"
"negative","@apple u guys are gay"
"irrelevant","Microsoft Technology Summit 2011: Rusza druga edycja programu „Twoja firma  Twoja szansa na sukces�?: ... http://t.co/8veo83D9 #microsoft"
"neutral","#Win an @Apple iPod Touch from @Mommy_gaga  get the @Pampers Hello World Baby Memories App! http://t.co/g8Uof7uz #PampersHelloApps"
"neutral","Dear #Microsoft - seize the moment - focus on developing Windows7 phones for enterprise solutions. Succeed where #RIM is failing."
"irrelevant","interface a voir en réel pour juger  sinon ice cream sandwich est simplement monstrueux !! #nexusprime #google #ICS"
"neutral","@D_REALRogers BE SLEEP N WHO NOEZ WHERE I BE BUT HOW IT's it U so called sleep but every 5 sec u got a new #twitter post up #btfu"
"positive","RT @spacecanard Today's the Day. ICS &lt;3 #android #google #samsung"
"neutral","#Google confirms #Nexus S will get #Ice_Cream_Sandwich -- for real this time (#Gingerbread devices  too) http://t.co/apLj6Tsk via @engadget"
"positive","Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone"
"positive","you are so blessed. @apple"
"neutral","@garbage Welcome to #Twitter!"
"irrelevant","#TeamFollowBack #TFB #MustFollow #MF #FollowNow #FN #FollowFriday #FF #IFB #Twitter #Follow @AmandaDGAF_16"
"negative","#google+ is really confusing.."
"neutral","RT @MizzSpicey: Now tuned in to http://t.co/DYMDmU3z with @deejaydenco! #WorldWide #Twitter #Facebook join me!!! #RT"
"neutral","@dwtalker that's some tough competition right there http://t.co/XP9LhjpR #TechWar #Google #Facebook #Apple #Amazon"
"positive","[GReader Share] Five Reasons Why Google is Winning the War in Photosharing  http://t.co/coQCLb9R - #photography #fotografia #google+"
"irrelevant","#Samsung Galaxy #Nexus / #Google #Android ICS �?�表会�?点整�?� http://t.co/u7ViMWl6 #galaxynexus #galaxynexus"
"neutral","RT @ajrogers Purdie Rogers tribute to #SteveJobs and @apple. We spray painted the Macintosh Plus w.. http://t.co/oMXjhZh0"
"irrelevant","@LucindaDouglas Ja mooi he Lucinda  dat doet #Microsoft goed. Blijk van #waardering en daarmee #verwachtingovertreffen"
"neutral","#Microsoft excludes tablets from its holiday advertising push http://t.co/kPslZjFC"
"irrelevant","RT @twandroid Prise de photo quasi instantannée #ouaaaaaaahhhhh #google #nexusprime"
"irrelevant","@_Pao92 ah bueno!!! jeje ta bn... ps aqui #fb y #twitter . jeje x cierto ya no me sta siguiendo vdd?? :'( ahorita vi mis seguidores y no sta"
"neutral","Microsoft turns your body into a touchscreen http://t.co/YE0NZy82 #Microsoft"
"neutral","time to change my twitter app  what's the best one for my iphone? Help please? #twitterapps : #twitter vs. #tweetcaster vs. #ubersoical ?"
"neutral","#Win an @Apple iPod Touch from @Mommy_gaga  get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps"
"neutral","I just installed the new Twidroyd for #Twitter on my #Android Phone - It's #Free  give it a try. http://t.co/eKh5JmGp"
"irrelevant","#Microsoft lanza #OmniTouch - http://t.co/UkxNzpyQ"
"irrelevant","Sex Games http://t.co/5qtmLHJn #@JaylaStarr #@JCannonDSD #sex #Twitter #video"
"irrelevant","RT @twandroid: Widgets scrollables comme sur Honeycomb #google #nexusprime"
"neutral","Yahoo Profit Drops 26 Per Cent! http://t.co/7AdG1Hss #yahoo #microsoft"
"positive","... I think I should work for #MelaleucaTheWellnessCompany ... Probably the best company to work for .. oh and #Google"
"neutral","Hey @Apple - need more servers for Siri traffic?  I'm sure Google can help you out with that..."
"irrelevant","#twitter #detik Mengaku Masih Baru di Kabinet  Cicip Baru Siapkan Program Pekan Depan http://t.co/Y3yOaRiN"
"neutral","@Apple  I asked Siri 'if she swallowed' she relied 'Lets see' - wtf do i do now? wank over my phone?"
"neutral","Minority Report-esque interface developed by #Microsoft Research and Carnegie Mellon University http://t.co/0yqEKDzg via @Digg"
"neutral","#Twitter'OFF :| GN'♥"
"irrelevant","RT: RT @EvelineHorbach: Terug van evaluatie learning circles bij #microsoft onder bezielend leiderschap van… http://t.co/apo4UNhb"
"irrelevant","Blog Kroker's Look @ IT: Der #Apple-Schock im PC-Markt - mit unerwartetem Potenzial für #Microsoft --&gt; http://t.co/29vCUgQz"
"irrelevant","Ala tengo a #twitter asi o mas abandonado :$"
"irrelevant","RT @twandroid: Possibilité de taguer les personnes #google #nexusprime"
"negative","dear #google & #samsung... learn some presentation 101 first. please."
"irrelevant","Workshop med @technet idag. Interessant! #citrix #Microsoft  #SYSIKT"
"neutral","Early cloud #Microsoft partners will be rewarded w/ a Cloud Accelerate badge  & additional internal use rights! http://t.co/pjkyf0gf"
"neutral","Stay young  stay foolish. But take ownership when u f*ck up  don't complain  and never give up. #resilience @apple"
"neutral","Windows Phone Tango and Apollo rumors suggest new screen specs
"neutral","quick hands on #Galaxy #Nexus by #Samsung #google #android #ICS #4 #icecreamsandwich http://t.co/22cF2m6d"
"negative","http://t.co/zBLtZ5MW German Federal #Trojan's got a BigBrother. #Gov spying on its people  #Microsoft's 32bit/64bit #Windows is target"
"positive","@Apple Safari Reader owns the worldwide web"
"neutral","Sdk available now  so you can develop apps for the phone and tablets right now. #Android4.0 #Google"
"neutral","RT @FierceWireless: #Microsoft's Ballmer promises #Nokia Windows phones next week  slams #Android.  http://t.co/OH8Btu2e #WP7 #Window..."
"irrelevant","直擊�?�?@Phone雜誌 / @微�?�通訊社 19日訊】谷歌+三星智能手機發布會http://t.co/SFBLWqjg @LK154: #Google 跟 #Samsung 正�?發佈 #Galaxy #Nexus… 手機�?格如下：http://t.co/MyIcSKXW #ICS"
"negative","Ouch  crash and burn. #Android facial recognition in #IceCreamSandwich didn't work during the presentation. http://t.co/6vsasZyT #Google"
"neutral","RT......zZzZzZzZzZzZzZzZzZzZ...... #Twitter off"
"neutral","#google #IceCreamSandwich #Samsung #Updates #Android | 
"neutral","RT @elishiawindfohr: #Twitter: Each second there are 2900 new tweets  for a total of 250 million per day and 7.5 billion per month. Rate ..."
"neutral","#Twitter Im coming home Im coming home tell the world that Im coming home lls"
"irrelevant","@rmeneghelo: #Google ainda te ama apesar de tudo IUEHAIUAHEIUHAEIUH =P correção: ainda te AMO..."
"irrelevant","#csportsmn #android #ios #pulse #google #galaxy #fringe #ajildavna #nexus #ics"
"neutral","Ohemgee. Be a follower..... #twitter"
"irrelevant","@Yesenia_Rivero puxi losiento deverdad q toy medio alejadoo de #twitter pero pronto estare al dia.. cuidate muxo. besitos a distancia bay!!!"
"negative","why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple"
"neutral","#Microsoft Pushing out #Mango to more Windows Phones http://t.co/xPIaZ8Xp #wp7 #orange #samsung #lg #optimus7 #htc #dell #msft"
"irrelevant","Avec OmniTouch  faites de n'importe quelle surface un écran tactile http://t.co/kBP15kTt #Microsoft #OmniTouch"
"irrelevant","RT @arelance: #Microsoft presenta un prototipo que permite utilizar la mano como interfaz http://t.co/kaCzpMYo #Kinect #in #fb"
"neutral","@apple so why is the ios support for 2nd gen ipods discontinued? It is only 3 years old? Give us an ios update please!"
"irrelevant","Hasta el #queque de tarea pero heme aqui en #twitter y #FB jijijiji ya falta menos para terminar #thanksGod"
"irrelevant","@IsabelSalazarJ @PremiosTWCo y en el HT #Twitter eres tambn cabeza con 44 votos Isa  tienes lo votos regados con HT #yovotopor tienes 1"
"negative","It took @apple about 7 years just to figure out how to properly syncronize an iPhone.  WOW!  #ios5"
"neutral","Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/QoXd3I0s #google"
"neutral","Texas Instruments confirms Galaxy Nexus has newer OMAP4460 processor http://t.co/wqQV4lyu #google #googlenexus"
"neutral","#Followme dijo #Twitter :D"
"positive","Awesome! #Microsoft  #holodeck bit.ly/qpGxle"
"neutral","I really dnt like to #follow people who never on #twitter"
"irrelevant","Mukesh Ambani: #MukeshAmbani  #Mukesh #Ambani http://t.co/uMBGXvQI #google #youtube"
"irrelevant","! RT @AlbertLorente: En España  se pasa más tiempo en sites de #Microsoft que en #Facebook y en sites de #Google... http://t.co/cjNWU8rv"
"irrelevant","#Reflex Online is nu ook beschikbaar op #Microsoft Marketplace. Meer hierover op ons blog: http://t.co/OZkelPhS"
"irrelevant","i like big glutus & i cannot lie
"negative","@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO"
"neutral","#Samsung Galaxy Nexus #smartphone  Android 4.0 Ice Cream Sandwich unveiled by #Google… http://t.co/nds5B4ej #BT"
"neutral","What does it take to get a job at #Google? #recruiting http://t.co/eVjiH7oD"
"neutral","#Reviora can host #Microsoft #Dynamics #SL #MSDYNERP - http://t.co/WFoopX1Y"
"neutral","#Microsoft #Cloud windows+server - RT @WesleyBackelant: Announcing the Microsoft ...: WindowsAzure : @Wesle... http://t.co/NaPViOT8 #TCN"
"positive","I just realized that the reason I got into twitter was ios5 thanks @apple"
"irrelevant","RT @twandroid: SDK dispo aujourd'hui #google #nexusprime"
"neutral","Android 4.0 OS Ice Cream Sandwich and the Galaxy Nexus is out.seems that smartphones are named by hungry developers  #Google+"
"neutral","#Microsoft's First Global Multi-Product Holiday Campaign  http://t.co/6nUFdiBN"
"neutral","thinking thinking thinking thinking #dotnet #asp #microsoft"
"neutral","Is #Google #Flight Search a threat to the OTA and #travel #Meta #Search #market in India? Check- http://t.co/RuhglJMt #News"
"negative","Comp crash #Microsoft :/ Wouldn't get this with an iMac -__-"
"neutral","@iTaylor_Simpson u post on #twitter to much like ery 5 sec #Damn"
"positive","@TheMarketaire This whole #Facebook change makes more nervous than excited. What about privacy  etc.? I much prefer #Twitter"
"neutral","#Win an @Apple iPod Touch from @Mommy_gaga  get the @Pampers Hello World Baby Memories App! http://t.co/I6woujUh #PampersHelloApps"
"positive","Cream on the inside  clean on the outside. Ice Cream phone job. #Google"
"neutral","Got to do it!RT @ElderMLTillerJr: I am cracking up at @BishopWSThomas advertising for #Twitter LOL"
"neutral","#Android #Google Samsung Galaxy Nexus release details still in short supply http://t.co/s6A7Y9WT #DhilipSiva"
"neutral","@Bestbuy or @Apple to purchase my imac  iPad  and printer? #StudentDiscounts?"
"negative","Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable"
"neutral","Engadget following #android #galaxy #nexus event #google #samsung #ICS http://t.co/vZx25ht8"
"neutral","#Microsoft CEO on #Android: You Have to Be a #Computer #Scientist to Use It - huffington post http://t.co/7PDBvauM #tech #mobile"
"irrelevant","TypeBuilder be gone  Roslyn CTP is here! Creating types without TypeBuilder! http://t.co/cilZFP9B #Roslyn #Microsoft"
"irrelevant","Microsoft Security Essential�?�定義ファイル�?�アップデート�?��?��?��?�：1.115.102.0 &gt; http://t.co/QuqPibic #Microsoft"
"irrelevant","Agora vou tentar dormi Game Over #Twitter #Facebook"
"neutral","In case you were curious like me.... IPhone 4S: Which Apple #iPhone is Best for Price  Features? http://t.co/d1LonCzc @Apple #HealthIT #EHR"
"positive","Thanks to Samsung and Google  I'm now craving for some Ice Cream Sandwich !  #IceCreamSandwich #Google #Samsung"
"neutral","Rumor: New screen sizes  specs coming to Windows Phones #windowsphone #microsoft http://t.co/gOQgJvvb #microsoft"
"irrelevant","Buenas noches �?� #twitter friends! Me despido q me voy a poner hacer mi tarea de acct �?� q flojera! Pero no se me permite fail any classes �?�"
"neutral","Put your twitter on autopilot and let it gain followers for you!! http://t.co/hze1TqAl #TeamFollowBack #Twitter #autopilot #1000aday 25"
"negative","@trisha_ps @iCloud is Cloudy. @apple tech  not very techy."
"neutral","Can this ho Siri update your tweets? cc: @apple @iPhone_News"
"neutral","RT @Jackiebaaby_: #'s are  #for #twitter #NOT #facebook. Duuuuhhh"
"neutral","Just because you follow me on #twitter does NOT mean we cool. As you can see I didnt follow yo thirsty ass back. #dummy -.- xD"
"negative","#Microsoft - We put the backwards into backwards compatibility. #instantfollowback"
"neutral","Check out our podacst regarding Sugar's Edge In Tems Of Database Structure http://t.co/Qv4DAw7A #Microsoft CRM"
"irrelevant","AsiaClassifiedToday Temasek to raise up to $800 million with bond offer - Straits Times: Tele... http://t.co/IaTj4kb9 #asia #google #biz"
"neutral","@SteveJobs : @Twitter overwhelmed by reaction to @Apple founder's death - Telegraph http://t.co/tqF6pjf5"
"neutral","#Microsoft #Cloud Microsoft launches Virtual Academy in Kenya: Microsoft East and Southern Africa launched ... http://t.co/GllUQiTJ #TCN"
"negative","I hate tron theme #Google #ICS"
"irrelevant","AsiaClassifiedToday Asia Stocks  Ringgit Gain on European Outlook - Bloomberg: Asia Stocks  R... http://t.co/biHKwSTW #asia #google #biz"
"neutral","RT @MonicaaC_: Damn tired! .. Need some rest! Night #twitter"
"neutral","#goodtoknow #privacy #google http://t.co/Ye337YR6"
"neutral","I wonder If the person who has @apple is holding out for apple to buy it from them"
"neutral","ok it is back @iphone @apple"
"negative","Ok this @Apple software update for the #iphone is taking waaaaay too long!
"irrelevant","RT @puntogeek: Hace tiempo:: Según Microsoft  Firefox es spyware http://t.co/UnFkqPaJ #Firefox #Microsoft"
"irrelevant","seit #apple #facebook und #google die großen bösen sind  ist #microsoft irgendwie wieder der sympathische nerdverein http://t.co/IUvizP0T"
"positive","Mmm... #SmarterPhone RT @Android: Introducing Ice Cream Sandwich  the delicious new version of Android: http://t.co/AXl2K1Gs #ICS #google"
"irrelevant","@hiarly iae meu brother .. min siga ae no #twitter .. ta lembrado de min né ?"
"neutral","RT @AppSense: “@Simon_townsend: #Microsoft tests and proves #AppSense enterprise scalability! 78K users on one personalization DB - http ..."
"neutral","#Microsoft Changes The Yet Known# Design of #Windows Eight http://t.co/EGa3wrr4"
"irrelevant","Grattis #microsoft ! Jag måste alltså ta bort Helvetica om jag ska köra IE9 och/eller Outlook?"
"irrelevant","Que mierda le pasa a #FOTA que no me quiere traer #IceCreamSandwich? #Google #Android @SamsungArg #GalaxyS2 ;-)"
"irrelevant","me re copè con #twitter"
"negative","From it's laughable file: #google will #encrypt #search results BUT only if U have logged in so they can maximize their #data #collection!"
"neutral","@teggyboy00 oh wow lmao thank no wonder why no one answered me !! addicted #twitter"
"irrelevant","Entre al #Twitter solo para desahogarme! :B"
"neutral","☼ #SOLAR ☺ @RhondaParsons ☼ @SOLar_sister ( A simpLe @ #symboL and AN #underscore ) This is #twitter WHERE WE #twEEt ☼"
"irrelevant","deberia de ponerme a leer un libro en lugar de estar perdiendo el tiempo en #fb y #twitter :("
"irrelevant","C'est quand même une conférence  où on n'attend pas 1h30 pour avoir une nouveauté.... #google #nexusprime"
"irrelevant","En full capacitación de soportes en #Microsoft Advertising  muy entretenida!!!"
"negative","Every time I try the voice control on my iPod Touch to send an iMessage  it starts playing Who Knew by Pink.  Still not Flawless @Apple"
"neutral","Thank you  me too. Looking forward to reviewing your book @WarrenWhitlock #twitter #authors #socialmedia"
"irrelevant","At the #Microsoft #imaginecup sri lanka in Peradeniya."
"irrelevant","RT @RoodProjecten: Leuk  ik ontving net een mooi boeket bloemen thuis van #Microsoft  als dank voor mijn bijdrage en waardevolle input.  ..."
"neutral","RT @PacktEnterprise: Book Published! #Microsoft #SharePoint 2010 Power User Cookbook: http://t.co/A8ZqMpYP @spmentor http://t.co/v0mO0VkQ"
"irrelevant","RT “@microsoftfrance: Cette année encore  #Microsoft remporte le prix du meilleur Service Client 2012 http://t.co/fMRd5g3s�?"
"neutral","search #facebook for FACEBOOK/TWITTER INDIE ARTIST MUSIC NETWORK (WORLDWIDE)
"neutral",".@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn"
"positive","New Galaxy Nexus: OS /Hardware Improvements -  Camera Zero Shutter Lag #nexus #samsung #google #android bit.ly/nEJbyE"
"neutral","Club CALUMO was FUN!  See the vidio CALUMO Blog #Denali #Microsoft #SQLServer http://t.co/8THqSRBd via @calumo"
"neutral","I hope @apple will release an app for Siri for us non-apple 4s users. #apple #iphone #siri"
"neutral","I want Siri on my iPhone4 ! @apple"
"positive","@rygurl you need an @apple iphone4S with Siri!"
"negative","@ford should have teamed up with @Apple instead of @microsoft to make this SYNC system in my new focus. 
"irrelevant","Possibilité de taguer les personnes #google #nexusprime"
"negative","Never purchasing another item from @apple."
"irrelevant","Lucha de Titanes: Las tres mejores alternativas a #Google Earth http://t.co/5X5pVRHr #Linux via @gabriel_j_gomez:"
"irrelevant","Estou com tanta dó do windows phone... CHUPA ESSA #microsoft http://t.co/jkGFN9rr trem lindo de deus!!!! android 4.0"
"irrelevant","#Job #ICT Verkaufspezialist von Infrastrukturlösungen an Geschäftskunden (w/m): Microsoft Schweiz... http://t.co/admV6cNg #Microsoft #IT"
"neutral","If @Mr_A_Johnson is up. #twitter is gona have some technical difficulties"
"irrelevant","De novo mais uma vez eu akie de madrugada falando sozinho no #Twitter  =S"
"neutral","RT @NeowinFeed: Google shows off new Ice Cream Sandwich features #google #android http://t.co/LlJpGM2a #neowin"
"neutral","The four American companies that have come to define 21st-century on the verge of war. @Amazon @Apple @Facebook and @G…http://t.co/PxUlr5dw"
"neutral","#uberSocial on #blackberry #crackberry is better than the actual #twitter site. It's wack on the iphone. #CoolStoryBro"
"irrelevant","Steve Ballmer haalt uit naar #Android: http://t.co/jZWofwYc
"irrelevant","estoy agradecido con #Dios y con #Microsoft por la oportunidad que me han dado de ser parte del grupo selecto de los #msp! Gracias Señor!!!!"
"irrelevant","el momento en el que me puedo desahogar  si efectividamente es en #twitter"
"positive","Calling all #marketing executives in #houston - sign up for #google #training - http://t.co/vo542MrZ - I can't wait to be there for the week"
"positive","@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?"
"neutral","how do you sync gmail contacts with your iphone? help please! @apple @gmail"
"positive","I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek"
"neutral","@apple store NY"
"neutral","Ha! The demo fail is still resonating.. Kinda funny  but on a global scale. Cool feature  though! #android #google #galaxynexus"
"positive","#iOS5 update submitted to @apple! Thanks for all the support!"
"neutral","RT @InternetBH: Microsoft finalises Skype deal - IT Business - News & Features - http://t.co/F9b14RY3: http://t.co/275l0zay #skype #Micr ..."
"irrelevant","De verdd qe si me he sentidoo rara estar un Dia sin mucho #twitter :B"
"irrelevant","�?�现 #google 特�?的故�?的�?�?? #facebook ，哈哈哈。"
"neutral","#google #yahoo #bing Ballmer on Bing  Xbox  Apple...oh  and Yahoo  too http://t.co/CfHu4jBP #seo #serps"
"neutral","RT @callmePinoc: RT @Crazy_Golfer: If you lose followers on #Twitter don't worry even Jesus lost followers ~Unknown #quote via @smqueue"
"neutral","#microsoft says #android is too complex.  Interesting - from a user angle contrast #windows with #macos for a comparison.http://goo.gl/Wu3Zm"
"positive","#Google's #Nexus really i wanna it now #Awesome"
"neutral","What Is Ice Cream Sandwich? - http://t.co/otA4rqi9 #Google"
"positive","Maybe #apple could use some of it's billions to do some good in the world?...oh wait  that's what #microsoft does."
"negative","on hold for another half hour. phone is ringing but no one is picking up.@apple you stink."
"negative","Pondering the iOS update... From the sounds of @MikeFerri's difficulties  I may just hold off :/ @Apple  FIX IT!"
"irrelevant","RT @SociosMicrosoft: Director de #Microsoft admite que fue afortunado el escape de la compra de Yahoo! http://t.co/ZX3dLElI"
"neutral","gotta get back on my #twitter #grind"
"irrelevant","El live stream del server de IPN esta over capacity por @SoytuFan_mx no la caguen si no es #twitter"
"neutral","#Microsoft launching the OmniTouch  how funny I though that was an @ALUEnterprise solution! #copyright http://t.co/5ExkV0L7 via @l_evenement"
"neutral","You need to ask #Siri her favorite color and the average speed of an unladen swallow. Seems Someone @apple is a Monty python fan"
"neutral","#Android #Google Samsung Galaxy Nexus launching in US  Europe and Asia this November http://t.co/NLdTU5oY #DhilipSiva"
"irrelevant","@Apple erneut im Fadenkreuz - Umweltverschmutzung? @Apple -Zulieferer muss Produktion stoppen  http://t.co/aH9KgrLY"
"neutral","RT @OKadeState: @Paigemorse1 tweeted!  Its official she is still alive #Twitter"
"irrelevant","Ya el #twitter como que me esta dejando de parecer divertido..."
"positive","It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!"
"neutral","Windows 7 Roadmap = #Windows #8 Roadmap: M3 final 6.1.6801 (7) and 6.2.8102 (8). #Beta at #CES? :O #Microsoft"
"neutral","Windows Phone firmware updates due next week to enable Internet Sharing http://t.co/yPF60YEe #microsoft #windows"
"irrelevant","Official plush Portal turrets deploying this December http://t.co/M7h8Orkc #mac #microsoft #pc #playstation"
"negative","#Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs"
"irrelevant","RT @OliPalko: RT @ishpconsult Der langsame Tod von SEO #Google -Suche  für eingeloggte User verschlüsselt - http://t.co/SSdxjoWd"
"negative","Im gonna need #Twitter to get all these problems fixed ASAP."
"negative","Reader 'Tronman' compares #SteveBallmer to an albatross around #Microsoft's neck.  Do you agree?  Join the discussion! http://t.co/Mn39R2vc"
"positive","#Microsoft details Search improvements in #Windows 8 Start Screen http://t.co/f6AztiaD"
"irrelevant","#Facebook ah quedado en el olvido gracias a #Twitter"
"neutral","#Android #Google Samsung Galaxy Nexus Coming Soon To Three UK http://t.co/FQbfdiYE #DhilipSiva"
"positive","My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job  @apple."
"neutral","Wow... @Apple sold 4 million iPhone 4S in a single weekend... http://t.co/WDLHZsza"
"irrelevant","RT @interfase: Andy Rubin de #Google develó oficialmente el Samsung #GalaxyNexus  el 1er smartphone con #Android4.0 Ice Cream Sandwich h ..."
"irrelevant","RT @Leahjanell: This Moment w/ @Shyah & @DianiGroves is brought to you by @NBA @Apple @Riesling oh and http://t.co/Dp4XiDs2"
"irrelevant","#Google sorprende de nuevo http://t.co/G7iLQLME #basedenegocios #business"
"irrelevant","Le Galaxy Nexus officialisé #Samsung #Google #GalaxyNexus #Icecream - http://t.co/YT2RWbgn via @Julbut @TweeqFr @Thibaudd"
"irrelevant","#Techno :  #Microsoft lanza sitio oficial de #Skype http://t.co/oQ2JbPS3"
"neutral","@TheZeroOfTime #microsoft"
"neutral","@apple @AppStore @ihelpline when r u going to provide the ability to password protect iPad email???"
"positive","Once again getting great customer service from the @apple store at millenia mall."
"irrelevant","Kan @Apple de #tekstaanvulling op #iphone en #ipad niet omdraaien? #eigenteksteerst #weetapplehetaltijdbeter"
"negative","Yep it's official  my tweets that get RT'd aren't showing me when they get RT'd. Dammit #Twitter  sometimes it's #Love/Hate thing we have!!"
"negative","Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit."
"neutral","#twitter is like therapy for sum people say wat you feel & get alot off yo chest.. And don't care wat the next person say"
"neutral","Microsoft opens the spigot  Windows Phone Mango available to all #microsoft #windowsphone http://t.co/e4LLmmyg"
"neutral","Good Night #Twitter."
"neutral","All the info on Ice Cream Sandwich here : http://t.co/f0rNfGPA @twandroid #google #nexusprime #ics #android"
"irrelevant","i-nexus Named as One of The Telegraph's Top 1000 - Free PR Site (press release) http://t.co/J4AHo3Aa #nexus #one #google"
"irrelevant","Ya Me voy Adios! #twitter por que esta muy Fome :S"
"irrelevant","Use Caution When Sharing on Social Networks http://t.co/SXNoBASn via @LarryMagid #youth #facebook #google+"
"neutral","Is there a way that I can post voice notes on #twitter??"
"neutral","Follow your interests #twitter"
"irrelevant","aai galeraa do #twitter abraço para queem ficaa"
"irrelevant","_('~')_ �?�り�?��?��?��?��?��?��?��?��?��?�?Facebookページ「Google Apps�?��?��?��?��?��?�?も�?々�?�ファン�?�増�?��?��?��?��?��?�?嬉�?��?��?��?��?��?�? http://t.co/PBi9Hog8 #google #googleapps"
"irrelevant","Se que en estos momentos transmiten soy tu fan  cortesía de #twitter y de @aNgEluSrO"
"neutral","Twitter's Thinking About Paying People to Tweet - Technology - http://t.co/zA9h5o5U #PayMe #Twitter"
