==== Linear Regression Iragarpenak ====
Instantzia 49: Iragarpena = positive 
Instantzia 50: Iragarpena = neutral 
Instantzia 51: Iragarpena = neutral 
Instantzia 52: Iragarpena = neutral 
Instantzia 53: Iragarpena = neutral 
Instantzia 54: Iragarpena = neutral 
Instantzia 55: Iragarpena = neutral 
Instantzia 56: Iragarpena = neutral 
Instantzia 57: Iragarpena = neutral 
Instantzia 58: Iragarpena = irrelevant 
Instantzia 59: Iragarpena = irrelevant 
Instantzia 60: Iragarpena = negative 
Instantzia 61: Iragarpena = neutral 
Instantzia 62: Iragarpena = neutral 
Instantzia 63: Iragarpena = neutral 
Instantzia 64: Iragarpena = neutral 
Instantzia 65: Iragarpena = neutral 
Instantzia 66: Iragarpena = neutral 
Instantzia 67: Iragarpena = irrelevant 
Instantzia 68: Iragarpena = neutral 
Instantzia 69: Iragarpena = neutral 
Instantzia 70: Iragarpena = neutral 
Instantzia 71: Iragarpena = irrelevant 
Instantzia 72: Iragarpena = neutral 
Instantzia 73: Iragarpena = neutral 
Instantzia 74: Iragarpena = irrelevant 
Instantzia 75: Iragarpena = neutral 
Instantzia 76: Iragarpena = neutral 
Instantzia 77: Iragarpena = neutral 
Instantzia 78: Iragarpena = neutral 
Instantzia 79: Iragarpena = irrelevant 
Instantzia 80: Iragarpena = neutral 
Instantzia 81: Iragarpena = neutral 
Instantzia 82: Iragarpena = negative 
Instantzia 83: Iragarpena = neutral 
Instantzia 84: Iragarpena = irrelevant 
Instantzia 85: Iragarpena = irrelevant 
Instantzia 86: Iragarpena = neutral 
Instantzia 87: Iragarpena = positive 
Instantzia 88: Iragarpena = neutral 
Instantzia 89: Iragarpena = neutral 
Instantzia 90: Iragarpena = negative 
Instantzia 91: Iragarpena = neutral 
Instantzia 92: Iragarpena = irrelevant 
Instantzia 93: Iragarpena = neutral 
Instantzia 94: Iragarpena = neutral 
Instantzia 95: Iragarpena = irrelevant 
Instantzia 96: Iragarpena = neutral 
Instantzia 97: Iragarpena = irrelevant 
Instantzia 98: Iragarpena = neutral 
Instantzia 99: Iragarpena = neutral 
Instantzia 100: Iragarpena = negative 
Instantzia 101: Iragarpena = irrelevant 
Instantzia 102: Iragarpena = irrelevant 
Instantzia 103: Iragarpena = neutral 
Instantzia 104: Iragarpena = negative 
Instantzia 105: Iragarpena = neutral 
Instantzia 106: Iragarpena = neutral 
Instantzia 107: Iragarpena = irrelevant 
Instantzia 108: Iragarpena = neutral 
Instantzia 109: Iragarpena = neutral 
Instantzia 110: Iragarpena = irrelevant 
Instantzia 111: Iragarpena = neutral 
Instantzia 112: Iragarpena = irrelevant 
Instantzia 113: Iragarpena = negative 
Instantzia 114: Iragarpena = neutral 
Instantzia 115: Iragarpena = irrelevant 
Instantzia 116: Iragarpena = irrelevant 
Instantzia 117: Iragarpena = irrelevant 
Instantzia 118: Iragarpena = irrelevant 
Instantzia 119: Iragarpena = positive 
Instantzia 120: Iragarpena = neutral 
Instantzia 121: Iragarpena = neutral 
Instantzia 122: Iragarpena = neutral 
Instantzia 123: Iragarpena = irrelevant 
Instantzia 124: Iragarpena = irrelevant 
Instantzia 125: Iragarpena = irrelevant 
Instantzia 126: Iragarpena = neutral 
Instantzia 127: Iragarpena = irrelevant 
Instantzia 128: Iragarpena = neutral 
Instantzia 129: Iragarpena = neutral 
Instantzia 130: Iragarpena = irrelevant 
Instantzia 131: Iragarpena = irrelevant 
Instantzia 132: Iragarpena = neutral 
Instantzia 133: Iragarpena = irrelevant 
Instantzia 134: Iragarpena = irrelevant 
Instantzia 135: Iragarpena = neutral 
Instantzia 136: Iragarpena = irrelevant 
Instantzia 137: Iragarpena = neutral 
Instantzia 138: Iragarpena = neutral 
Instantzia 139: Iragarpena = neutral 
Instantzia 140: Iragarpena = irrelevant 
Instantzia 141: Iragarpena = irrelevant 
Instantzia 142: Iragarpena = neutral 
Instantzia 143: Iragarpena = neutral 
Instantzia 144: Iragarpena = positive 
Instantzia 145: Iragarpena = irrelevant 
Instantzia 146: Iragarpena = neutral 
Instantzia 147: Iragarpena = neutral 
Instantzia 148: Iragarpena = negative 
Instantzia 149: Iragarpena = neutral 
Instantzia 150: Iragarpena = irrelevant 
Instantzia 151: Iragarpena = negative 
Instantzia 152: Iragarpena = neutral 
Instantzia 153: Iragarpena = irrelevant 
Instantzia 154: Iragarpena = irrelevant 
Instantzia 155: Iragarpena = neutral 
Instantzia 156: Iragarpena = neutral 
Instantzia 157: Iragarpena = irrelevant 
Instantzia 158: Iragarpena = neutral 
Instantzia 159: Iragarpena = neutral 
Instantzia 160: Iragarpena = neutral 
Instantzia 161: Iragarpena = irrelevant 
Instantzia 162: Iragarpena = neutral 
Instantzia 163: Iragarpena = neutral 
Instantzia 164: Iragarpena = neutral 
Instantzia 165: Iragarpena = irrelevant 
Instantzia 166: Iragarpena = neutral 
Instantzia 167: Iragarpena = neutral 
Instantzia 168: Iragarpena = neutral 
Instantzia 169: Iragarpena = neutral 
Instantzia 170: Iragarpena = neutral 
Instantzia 171: Iragarpena = neutral 
Instantzia 172: Iragarpena = neutral 
Instantzia 173: Iragarpena = irrelevant 
Instantzia 174: Iragarpena = neutral 
Instantzia 175: Iragarpena = neutral 
Instantzia 176: Iragarpena = irrelevant 
Instantzia 177: Iragarpena = negative 
Instantzia 178: Iragarpena = irrelevant 
Instantzia 179: Iragarpena = irrelevant 
Instantzia 180: Iragarpena = positive 
Instantzia 181: Iragarpena = positive 
Instantzia 182: Iragarpena = neutral 
Instantzia 183: Iragarpena = neutral 
Instantzia 184: Iragarpena = irrelevant 
Instantzia 185: Iragarpena = neutral 
Instantzia 186: Iragarpena = neutral 
Instantzia 187: Iragarpena = irrelevant 
Instantzia 188: Iragarpena = irrelevant 
Instantzia 189: Iragarpena = irrelevant 
Instantzia 190: Iragarpena = irrelevant 
Instantzia 191: Iragarpena = irrelevant 
Instantzia 192: Iragarpena = neutral 
Instantzia 193: Iragarpena = neutral 
Instantzia 194: Iragarpena = irrelevant 
Instantzia 195: Iragarpena = neutral 
Instantzia 196: Iragarpena = neutral 
Instantzia 197: Iragarpena = irrelevant 
Instantzia 198: Iragarpena = neutral 
Instantzia 199: Iragarpena = irrelevant 
Instantzia 200: Iragarpena = irrelevant 
Instantzia 201: Iragarpena = irrelevant 
Instantzia 202: Iragarpena = neutral 
Instantzia 203: Iragarpena = neutral 
Instantzia 204: Iragarpena = irrelevant 
Instantzia 205: Iragarpena = neutral 
Instantzia 206: Iragarpena = irrelevant 
Instantzia 207: Iragarpena = neutral 
Instantzia 208: Iragarpena = neutral 
Instantzia 209: Iragarpena = neutral 
Instantzia 210: Iragarpena = irrelevant 
Instantzia 211: Iragarpena = neutral 
Instantzia 212: Iragarpena = irrelevant 
Instantzia 213: Iragarpena = neutral 
Instantzia 214: Iragarpena = irrelevant 
Instantzia 215: Iragarpena = neutral 
Instantzia 216: Iragarpena = irrelevant 
Instantzia 217: Iragarpena = irrelevant 
Instantzia 218: Iragarpena = neutral 
Instantzia 219: Iragarpena = neutral 
Instantzia 220: Iragarpena = irrelevant 
Instantzia 221: Iragarpena = neutral 
Instantzia 222: Iragarpena = neutral 
Instantzia 223: Iragarpena = irrelevant 
Instantzia 224: Iragarpena = neutral 
Instantzia 225: Iragarpena = irrelevant 
Instantzia 226: Iragarpena = neutral 
Instantzia 227: Iragarpena = neutral 
Instantzia 228: Iragarpena = neutral 
Instantzia 229: Iragarpena = neutral 
Instantzia 230: Iragarpena = irrelevant 
Instantzia 231: Iragarpena = neutral 
Instantzia 232: Iragarpena = irrelevant 
Instantzia 233: Iragarpena = negative 
Instantzia 234: Iragarpena = negative 
Instantzia 235: Iragarpena = neutral 
Instantzia 236: Iragarpena = negative 
Instantzia 237: Iragarpena = neutral 
Instantzia 238: Iragarpena = positive 
Instantzia 239: Iragarpena = negative 
Instantzia 240: Iragarpena = neutral 
Instantzia 241: Iragarpena = irrelevant 
Instantzia 242: Iragarpena = irrelevant 
Instantzia 243: Iragarpena = neutral 
Instantzia 244: Iragarpena = irrelevant 
Instantzia 245: Iragarpena = irrelevant 
Instantzia 246: Iragarpena = neutral 
Instantzia 247: Iragarpena = irrelevant 
Instantzia 248: Iragarpena = negative 
Instantzia 249: Iragarpena = neutral 
Instantzia 250: Iragarpena = irrelevant 
Instantzia 251: Iragarpena = neutral 
Instantzia 252: Iragarpena = irrelevant 
Instantzia 253: Iragarpena = neutral 
Instantzia 254: Iragarpena = neutral 
Instantzia 255: Iragarpena = neutral 
Instantzia 256: Iragarpena = neutral 
Instantzia 257: Iragarpena = irrelevant 
Instantzia 258: Iragarpena = irrelevant 
Instantzia 259: Iragarpena = negative 
Instantzia 260: Iragarpena = neutral 
Instantzia 261: Iragarpena = neutral 
Instantzia 262: Iragarpena = negative 
Instantzia 263: Iragarpena = irrelevant 
Instantzia 264: Iragarpena = irrelevant 
Instantzia 265: Iragarpena = neutral 
Instantzia 266: Iragarpena = negative 
Instantzia 267: Iragarpena = irrelevant 
Instantzia 268: Iragarpena = neutral 
Instantzia 269: Iragarpena = neutral 
Instantzia 270: Iragarpena = irrelevant 
Instantzia 271: Iragarpena = irrelevant 
Instantzia 272: Iragarpena = irrelevant 
Instantzia 273: Iragarpena = negative 
Instantzia 274: Iragarpena = irrelevant 
Instantzia 275: Iragarpena = irrelevant 
Instantzia 276: Iragarpena = irrelevant 
Instantzia 277: Iragarpena = irrelevant 
Instantzia 278: Iragarpena = negative 
Instantzia 279: Iragarpena = irrelevant 
Instantzia 280: Iragarpena = neutral 
Instantzia 281: Iragarpena = irrelevant 
Instantzia 282: Iragarpena = neutral 
Instantzia 283: Iragarpena = irrelevant 
Instantzia 284: Iragarpena = neutral 
Instantzia 285: Iragarpena = neutral 
Instantzia 286: Iragarpena = irrelevant 
Instantzia 287: Iragarpena = irrelevant 
Instantzia 288: Iragarpena = irrelevant 
Instantzia 289: Iragarpena = irrelevant 
Instantzia 290: Iragarpena = negative 
Instantzia 291: Iragarpena = irrelevant 
Instantzia 292: Iragarpena = neutral 
Instantzia 293: Iragarpena = neutral 
Instantzia 294: Iragarpena = irrelevant 
Instantzia 295: Iragarpena = irrelevant 
Instantzia 296: Iragarpena = neutral 
Instantzia 297: Iragarpena = neutral 
Instantzia 298: Iragarpena = positive 
Instantzia 299: Iragarpena = neutral 
Instantzia 300: Iragarpena = irrelevant 
Instantzia 301: Iragarpena = neutral 
Instantzia 302: Iragarpena = neutral 
Instantzia 303: Iragarpena = positive 
Instantzia 304: Iragarpena = negative 
Instantzia 305: Iragarpena = negative 
Instantzia 306: Iragarpena = neutral 
Instantzia 307: Iragarpena = neutral 
Instantzia 308: Iragarpena = neutral 
Instantzia 309: Iragarpena = negative 
Instantzia 310: Iragarpena = positive 
Instantzia 311: Iragarpena = irrelevant 
Instantzia 312: Iragarpena = negative 
Instantzia 313: Iragarpena = irrelevant 
Instantzia 314: Iragarpena = neutral 
Instantzia 315: Iragarpena = irrelevant 
Instantzia 316: Iragarpena = irrelevant 
Instantzia 317: Iragarpena = irrelevant 
Instantzia 318: Iragarpena = irrelevant 
Instantzia 319: Iragarpena = neutral 
Instantzia 320: Iragarpena = irrelevant 
Instantzia 321: Iragarpena = neutral 
Instantzia 322: Iragarpena = negative 
Instantzia 323: Iragarpena = negative 
Instantzia 324: Iragarpena = irrelevant 
Instantzia 325: Iragarpena = neutral 
Instantzia 326: Iragarpena = neutral 
Instantzia 327: Iragarpena = neutral 
Instantzia 328: Iragarpena = neutral 
Instantzia 329: Iragarpena = positive 
Instantzia 330: Iragarpena = neutral 
Instantzia 331: Iragarpena = neutral 
Instantzia 332: Iragarpena = irrelevant 
Instantzia 333: Iragarpena = neutral 
Instantzia 334: Iragarpena = neutral 
Instantzia 335: Iragarpena = neutral 
Instantzia 336: Iragarpena = neutral 
Instantzia 337: Iragarpena = neutral 
Instantzia 338: Iragarpena = irrelevant 
Instantzia 339: Iragarpena = irrelevant 
Instantzia 340: Iragarpena = neutral 
Instantzia 341: Iragarpena = neutral 
Instantzia 342: Iragarpena = neutral 
Instantzia 343: Iragarpena = negative 
Instantzia 344: Iragarpena = neutral 
Instantzia 345: Iragarpena = neutral 
Instantzia 346: Iragarpena = irrelevant 
Instantzia 347: Iragarpena = positive 
Instantzia 348: Iragarpena = irrelevant 
Instantzia 349: Iragarpena = neutral 
Instantzia 350: Iragarpena = irrelevant 
Instantzia 351: Iragarpena = irrelevant 
Instantzia 352: Iragarpena = irrelevant 
Instantzia 353: Iragarpena = neutral 
Instantzia 354: Iragarpena = negative 
Instantzia 355: Iragarpena = irrelevant 
Instantzia 356: Iragarpena = irrelevant 
Instantzia 357: Iragarpena = irrelevant 
Instantzia 358: Iragarpena = positive 
Instantzia 359: Iragarpena = irrelevant 
Instantzia 360: Iragarpena = irrelevant 
Instantzia 361: Iragarpena = positive 
Instantzia 362: Iragarpena = irrelevant 
Instantzia 363: Iragarpena = neutral 
Instantzia 364: Iragarpena = irrelevant 
Instantzia 365: Iragarpena = irrelevant 
Instantzia 366: Iragarpena = neutral 
Instantzia 367: Iragarpena = irrelevant 
Instantzia 368: Iragarpena = neutral 
Instantzia 369: Iragarpena = neutral 
Instantzia 370: Iragarpena = irrelevant 
Instantzia 371: Iragarpena = negative 
Instantzia 372: Iragarpena = irrelevant 
Instantzia 373: Iragarpena = irrelevant 
Instantzia 374: Iragarpena = negative 
Instantzia 375: Iragarpena = neutral 
Instantzia 376: Iragarpena = neutral 
Instantzia 377: Iragarpena = irrelevant 
Instantzia 378: Iragarpena = neutral 
Instantzia 379: Iragarpena = neutral 
Instantzia 380: Iragarpena = neutral 
Instantzia 381: Iragarpena = irrelevant 
Instantzia 382: Iragarpena = neutral 
Instantzia 383: Iragarpena = neutral 
Instantzia 384: Iragarpena = neutral 
Instantzia 385: Iragarpena = neutral 
Instantzia 386: Iragarpena = irrelevant 
Instantzia 387: Iragarpena = negative 
Instantzia 388: Iragarpena = neutral 
Instantzia 389: Iragarpena = irrelevant 
Instantzia 390: Iragarpena = irrelevant 
Instantzia 391: Iragarpena = neutral 
Instantzia 392: Iragarpena = irrelevant 
Instantzia 393: Iragarpena = irrelevant 
Instantzia 394: Iragarpena = neutral 
Instantzia 395: Iragarpena = irrelevant 
Instantzia 396: Iragarpena = neutral 
Instantzia 397: Iragarpena = irrelevant 
Instantzia 398: Iragarpena = neutral 
Instantzia 399: Iragarpena = irrelevant 
Instantzia 400: Iragarpena = neutral 
Instantzia 401: Iragarpena = neutral 
Instantzia 402: Iragarpena = neutral 
Instantzia 403: Iragarpena = negative 
Instantzia 404: Iragarpena = irrelevant 
Instantzia 405: Iragarpena = irrelevant 
Instantzia 406: Iragarpena = negative 
Instantzia 407: Iragarpena = neutral 
Instantzia 408: Iragarpena = irrelevant 
Instantzia 409: Iragarpena = irrelevant 
Instantzia 410: Iragarpena = neutral 
Instantzia 411: Iragarpena = negative 
Instantzia 412: Iragarpena = neutral 
Instantzia 413: Iragarpena = positive 
Instantzia 414: Iragarpena = neutral 
Instantzia 415: Iragarpena = irrelevant 
Instantzia 416: Iragarpena = negative 
Instantzia 417: Iragarpena = irrelevant 
Instantzia 418: Iragarpena = neutral 
Instantzia 419: Iragarpena = neutral 
Instantzia 420: Iragarpena = neutral 
Instantzia 421: Iragarpena = neutral 
Instantzia 422: Iragarpena = neutral 
Instantzia 423: Iragarpena = neutral 
Instantzia 424: Iragarpena = neutral 
Instantzia 425: Iragarpena = irrelevant 
Instantzia 426: Iragarpena = irrelevant 
Instantzia 427: Iragarpena = positive 
Instantzia 428: Iragarpena = irrelevant 
Instantzia 429: Iragarpena = neutral 
Instantzia 430: Iragarpena = neutral 
Instantzia 431: Iragarpena = neutral 
Instantzia 432: Iragarpena = neutral 
Instantzia 433: Iragarpena = irrelevant 
Instantzia 434: Iragarpena = neutral 
Instantzia 435: Iragarpena = neutral 
Instantzia 436: Iragarpena = positive 
Instantzia 437: Iragarpena = neutral 
Instantzia 438: Iragarpena = irrelevant 
Instantzia 439: Iragarpena = neutral 
Instantzia 440: Iragarpena = neutral 
Instantzia 441: Iragarpena = irrelevant 
Instantzia 442: Iragarpena = neutral 
Instantzia 443: Iragarpena = irrelevant 
Instantzia 444: Iragarpena = irrelevant 
Instantzia 445: Iragarpena = irrelevant 
Instantzia 446: Iragarpena = irrelevant 
Instantzia 447: Iragarpena = irrelevant 
Instantzia 448: Iragarpena = neutral 
Instantzia 449: Iragarpena = neutral 
Instantzia 450: Iragarpena = irrelevant 
Instantzia 451: Iragarpena = positive 
Instantzia 452: Iragarpena = neutral 
Instantzia 453: Iragarpena = neutral 
Instantzia 454: Iragarpena = neutral 
Instantzia 455: Iragarpena = negative 
Instantzia 456: Iragarpena = irrelevant 
Instantzia 457: Iragarpena = irrelevant 
Instantzia 458: Iragarpena = neutral 
Instantzia 459: Iragarpena = neutral 
Instantzia 460: Iragarpena = positive 
Instantzia 461: Iragarpena = neutral 
Instantzia 462: Iragarpena = neutral 
Instantzia 463: Iragarpena = irrelevant 
Instantzia 464: Iragarpena = neutral 
Instantzia 465: Iragarpena = neutral 
Instantzia 466: Iragarpena = irrelevant 
Instantzia 467: Iragarpena = neutral 
Instantzia 468: Iragarpena = neutral 
Instantzia 469: Iragarpena = neutral 
Instantzia 470: Iragarpena = neutral 
Instantzia 471: Iragarpena = neutral 
Instantzia 472: Iragarpena = neutral 
Instantzia 473: Iragarpena = irrelevant 
Instantzia 474: Iragarpena = neutral 
Instantzia 475: Iragarpena = irrelevant 
Instantzia 476: Iragarpena = neutral 
Instantzia 477: Iragarpena = irrelevant 
Instantzia 478: Iragarpena = irrelevant 
Instantzia 479: Iragarpena = irrelevant 
Instantzia 480: Iragarpena = negative 
Instantzia 481: Iragarpena = neutral 
Instantzia 482: Iragarpena = neutral 
Instantzia 483: Iragarpena = positive 
Instantzia 484: Iragarpena = irrelevant 
Instantzia 485: Iragarpena = irrelevant 
Instantzia 486: Iragarpena = irrelevant 
Instantzia 487: Iragarpena = irrelevant 
Instantzia 488: Iragarpena = neutral 
Instantzia 489: Iragarpena = neutral 
Instantzia 490: Iragarpena = irrelevant 
Instantzia 491: Iragarpena = irrelevant 
Instantzia 492: Iragarpena = irrelevant 
Instantzia 493: Iragarpena = neutral 
Instantzia 494: Iragarpena = negative 
Instantzia 495: Iragarpena = negative 
Instantzia 496: Iragarpena = neutral 
Instantzia 497: Iragarpena = irrelevant 
Instantzia 498: Iragarpena = irrelevant 
Instantzia 499: Iragarpena = neutral 
Instantzia 500: Iragarpena = negative 
Instantzia 501: Iragarpena = irrelevant 
Instantzia 502: Iragarpena = irrelevant 
Instantzia 503: Iragarpena = irrelevant 
Instantzia 504: Iragarpena = neutral 
Instantzia 505: Iragarpena = negative 
Instantzia 506: Iragarpena = irrelevant 
Instantzia 507: Iragarpena = neutral 
Instantzia 508: Iragarpena = neutral 
Instantzia 509: Iragarpena = irrelevant 
Instantzia 510: Iragarpena = neutral 
Instantzia 511: Iragarpena = negative 
Instantzia 512: Iragarpena = neutral 
Instantzia 513: Iragarpena = irrelevant 
Instantzia 514: Iragarpena = irrelevant 
Instantzia 515: Iragarpena = irrelevant 
Instantzia 516: Iragarpena = positive 
Instantzia 517: Iragarpena = irrelevant 
Instantzia 518: Iragarpena = neutral 
Instantzia 519: Iragarpena = neutral 
Instantzia 520: Iragarpena = irrelevant 
Instantzia 521: Iragarpena = neutral 
Instantzia 522: Iragarpena = neutral 
Instantzia 523: Iragarpena = irrelevant 
Instantzia 524: Iragarpena = irrelevant 
Instantzia 525: Iragarpena = irrelevant 
Instantzia 526: Iragarpena = neutral 
Instantzia 527: Iragarpena = irrelevant 
Instantzia 528: Iragarpena = irrelevant 
Instantzia 529: Iragarpena = negative 
Instantzia 530: Iragarpena = irrelevant 
Instantzia 531: Iragarpena = negative 
Instantzia 532: Iragarpena = neutral 
Instantzia 533: Iragarpena = neutral 
Instantzia 534: Iragarpena = irrelevant 
Instantzia 535: Iragarpena = neutral 
Instantzia 536: Iragarpena = irrelevant 
Instantzia 537: Iragarpena = neutral 
Instantzia 538: Iragarpena = neutral 
Instantzia 539: Iragarpena = positive 
Instantzia 540: Iragarpena = irrelevant 
Instantzia 541: Iragarpena = negative 
Instantzia 542: Iragarpena = irrelevant 
Instantzia 543: Iragarpena = irrelevant 
Instantzia 544: Iragarpena = neutral 
Instantzia 545: Iragarpena = neutral 
Instantzia 546: Iragarpena = neutral 
Instantzia 547: Iragarpena = neutral 
Instantzia 548: Iragarpena = irrelevant 
Instantzia 549: Iragarpena = neutral 
Instantzia 550: Iragarpena = neutral 
Instantzia 551: Iragarpena = positive 
Instantzia 552: Iragarpena = neutral 
Instantzia 553: Iragarpena = neutral 
Instantzia 554: Iragarpena = neutral 
Instantzia 555: Iragarpena = neutral 
Instantzia 556: Iragarpena = irrelevant 
Instantzia 557: Iragarpena = irrelevant 
Instantzia 558: Iragarpena = irrelevant 
Instantzia 559: Iragarpena = neutral 
Instantzia 560: Iragarpena = neutral 
Instantzia 561: Iragarpena = negative 
Instantzia 562: Iragarpena = irrelevant 
Instantzia 563: Iragarpena = irrelevant 
Instantzia 564: Iragarpena = neutral 
Instantzia 565: Iragarpena = neutral 
Instantzia 566: Iragarpena = irrelevant 
Instantzia 567: Iragarpena = neutral 
Instantzia 568: Iragarpena = negative 
Instantzia 569: Iragarpena = negative 
Instantzia 570: Iragarpena = neutral 
Instantzia 571: Iragarpena = irrelevant 
Instantzia 572: Iragarpena = irrelevant 
Instantzia 573: Iragarpena = negative 
Instantzia 574: Iragarpena = neutral 
Instantzia 575: Iragarpena = neutral 
Instantzia 576: Iragarpena = positive 
Instantzia 577: Iragarpena = neutral 
Instantzia 578: Iragarpena = irrelevant 
Instantzia 579: Iragarpena = irrelevant 
Instantzia 580: Iragarpena = neutral 
Instantzia 581: Iragarpena = neutral 
Instantzia 582: Iragarpena = negative 
Instantzia 583: Iragarpena = neutral 
Instantzia 584: Iragarpena = neutral 
Instantzia 585: Iragarpena = irrelevant 
Instantzia 586: Iragarpena = irrelevant 
Instantzia 587: Iragarpena = neutral 
Instantzia 588: Iragarpena = irrelevant 
Instantzia 589: Iragarpena = negative 
Instantzia 590: Iragarpena = positive 
Instantzia 591: Iragarpena = neutral 
Instantzia 592: Iragarpena = irrelevant 
Instantzia 593: Iragarpena = negative 
Instantzia 594: Iragarpena = neutral 
Instantzia 595: Iragarpena = neutral 
Instantzia 596: Iragarpena = neutral 
Instantzia 597: Iragarpena = negative 
Instantzia 598: Iragarpena = irrelevant 
Instantzia 599: Iragarpena = irrelevant 
Instantzia 600: Iragarpena = positive 
Instantzia 601: Iragarpena = negative 
Instantzia 602: Iragarpena = irrelevant 
Instantzia 603: Iragarpena = neutral 
Instantzia 604: Iragarpena = irrelevant 
Instantzia 605: Iragarpena = positive 
Instantzia 606: Iragarpena = neutral 
Instantzia 607: Iragarpena = neutral 
Instantzia 608: Iragarpena = irrelevant 
Instantzia 609: Iragarpena = irrelevant 
Instantzia 610: Iragarpena = neutral 
Instantzia 611: Iragarpena = neutral 
Instantzia 612: Iragarpena = neutral 
Instantzia 613: Iragarpena = irrelevant 
Instantzia 614: Iragarpena = irrelevant 
Instantzia 615: Iragarpena = irrelevant 
Instantzia 616: Iragarpena = neutral 
Instantzia 617: Iragarpena = neutral 
Instantzia 618: Iragarpena = irrelevant 
Instantzia 619: Iragarpena = irrelevant 
Instantzia 620: Iragarpena = irrelevant 
Instantzia 621: Iragarpena = irrelevant 
Instantzia 622: Iragarpena = irrelevant 
Instantzia 623: Iragarpena = irrelevant 
Instantzia 624: Iragarpena = positive 
Instantzia 625: Iragarpena = positive 
Instantzia 626: Iragarpena = irrelevant 
Instantzia 627: Iragarpena = positive 
Instantzia 628: Iragarpena = positive 
Instantzia 629: Iragarpena = negative 
Instantzia 630: Iragarpena = irrelevant 
Instantzia 631: Iragarpena = neutral 
Instantzia 632: Iragarpena = irrelevant 
Instantzia 633: Iragarpena = irrelevant 
Instantzia 634: Iragarpena = negative 
Instantzia 635: Iragarpena = neutral 
Instantzia 636: Iragarpena = irrelevant 
Instantzia 637: Iragarpena = neutral 
Instantzia 638: Iragarpena = neutral 
Instantzia 639: Iragarpena = negative 
Instantzia 640: Iragarpena = irrelevant 
Instantzia 641: Iragarpena = irrelevant 
Instantzia 642: Iragarpena = irrelevant 
Instantzia 643: Iragarpena = irrelevant 
Instantzia 644: Iragarpena = negative 
Instantzia 645: Iragarpena = neutral 
Instantzia 646: Iragarpena = neutral 
Instantzia 647: Iragarpena = positive 
Instantzia 648: Iragarpena = neutral 
Instantzia 649: Iragarpena = irrelevant 
Instantzia 650: Iragarpena = positive 
Instantzia 651: Iragarpena = neutral 
Instantzia 652: Iragarpena = irrelevant 
Instantzia 653: Iragarpena = irrelevant 
Instantzia 654: Iragarpena = irrelevant 
Instantzia 655: Iragarpena = positive 
Instantzia 656: Iragarpena = neutral 
Instantzia 657: Iragarpena = negative 
Instantzia 658: Iragarpena = irrelevant 
Instantzia 659: Iragarpena = irrelevant 
Instantzia 660: Iragarpena = neutral 
Instantzia 661: Iragarpena = positive 
Instantzia 662: Iragarpena = negative 
Instantzia 663: Iragarpena = irrelevant 
Instantzia 664: Iragarpena = irrelevant 
Instantzia 665: Iragarpena = neutral 
Instantzia 666: Iragarpena = neutral 
Instantzia 667: Iragarpena = negative 
Instantzia 668: Iragarpena = irrelevant 
Instantzia 669: Iragarpena = irrelevant 
Instantzia 670: Iragarpena = neutral 
Instantzia 671: Iragarpena = neutral 
Instantzia 672: Iragarpena = irrelevant 
Instantzia 673: Iragarpena = irrelevant 
Instantzia 674: Iragarpena = irrelevant 
Instantzia 675: Iragarpena = negative 
Instantzia 676: Iragarpena = irrelevant 
